City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,sambava,-14.2667,50.1667,23.3,90,97,2.34,MG,1675564919
322,ossora,59.2353,163.0719,-17.11,86,99,0.94,RU,1675564920
323,labuhan,-6.8844,112.2051,27.94,77,99,4.36,ID,1675564632
324,pisco,-13.7,-76.2167,22.03,94,40,1.54,PE,1675564921
325,gizo,-8.103,156.8419,28.38,76,90,4.63,SB,1675564921
326,shaunavon,49.6501,-108.4181,-3.12,78,6,3.67,CA,1675564922
327,komsomolskiy,40.4272,71.7189,3.4,87,100,3.09,UZ,1675564924
328,eshowe,-28.8865,31.4699,16.28,94,9,1.64,ZA,1675564925
329,avdiyivka,48.1399,37.7426,-1.49,74,100,1.22,UA,1675564926
330,patacamaya,-17.2333,-67.9167,3.28,99,100,1.42,BO,1675564927
331,mandalgovi,45.7625,106.2708,-9.82,42,59,1.19,MN,1675564928
332,conceicao do araguaia,-8.2578,-49.2647,23.66,89,97,0.43,BR,1675564929
333,puerto del rosario,28.5004,-13.8627,16.86,67,75,5.66,ES,1675564931
334,kristiinankaupunki,62.2743,21.376,-3.83,76,99,8.23,FI,1675564932
335,alofi,-19.0595,-169.9187,22.94,100,100,4.12,NU,1675564718
336,charters towers,-20.1,146.2667,24.21,92,100,3.96,AU,1675564933
337,hamilton,39.1834,-84.5333,6.56,50,100,5.66,US,1675564579
338,shiraoi,42.55,141.35,0.67,63,35,6.13,JP,1675564935
339,kirakira,-10.4544,161.9205,28.82,79,100,2.18,SB,1675564898
340,poum,-20.2333,164.0167,29.3,76,100,4.22,NC,1675564847
341,katherine,-14.4667,132.2667,32.18,51,34,3.6,AU,1675564939
342,korla,41.7597,86.1469,-2.27,60,1,1.26,CN,1675564940
343,berlevag,70.8578,29.0864,-5.03,63,97,2.06,NO,1675564942
344,grants pass,42.439,-123.3284,7.83,87,100,0.0,US,1675564944
345,yegros,-26.45,-56.4,22.62,56,99,1.88,PY,1675564947
346,hofn,64.2539,-15.2082,1.1,98,100,3.45,IS,1675564906
347,wexford,52.3342,-6.4575,3.83,99,34,2.68,IE,1675564770
348,boende,-0.2167,20.8667,22.52,83,99,0.39,CD,1675564952
349,kontagora,10.3999,5.4695,24.42,17,78,2.58,NG,1675564953
350,urusha,54.05,122.9,-18.5,87,38,0.87,RU,1675564953
351,perth,-31.9333,115.8333,36.12,43,0,4.63,AU,1675564838
352,lamu,-2.2717,40.902,25.12,88,68,5.0,KE,1675564741
353,kruisfontein,-34.0033,24.7314,21.6,81,0,2.57,ZA,1675564954
354,surgut,61.25,73.4167,-15.9,84,0,2.0,RU,1675564955
355,faanui,-16.4833,-151.75,27.4,73,34,7.55,PF,1675564680
356,houma,29.5958,-90.7195,13.33,82,0,1.54,US,1675564956
357,savasleyka,55.4606,42.3207,-5.74,98,100,1.31,RU,1675564956
